# MIDI File: MIDI-Viva la vida.mid
# Tempo: 120.0 BPM
# Duration: 262.77 seconds
# Total Notes: 2579
# Tracks: 2

# Format: TIME_SEC | NOTE | DURATION | VELOCITY
# ==================================================

  36.000 | D#3  | 0.236s | vel= 80
  36.250 | C5   | 0.236s | vel= 80
  36.250 | G4   | 0.236s | vel= 80
  36.250 | C4   | 0.236s | vel= 80
  36.250 | G#3  | 0.236s | vel= 80
  36.250 | F3   | 0.236s | vel= 80
  36.750 | C5   | 0.236s | vel= 80
  36.750 | G4   | 0.236s | vel= 80
  36.750 | C4   | 0.236s | vel= 80
  36.750 | G#3  | 0.236s | vel= 80
  36.750 | F3   | 0.711s | vel= 80
  37.000 | C5   | 0.236s | vel= 80
  37.000 | G4   | 0.236s | vel= 80
  37.000 | C4   | 0.236s | vel= 80
  37.000 | G#3  | 0.236s | vel= 80
  37.250 | C5   | 0.236s | vel= 80
  37.250 | G4   | 0.236s | vel= 80
  37.250 | C4   | 0.236s | vel= 80
  37.250 | G#3  | 0.236s | vel= 80
  37.500 | C5   | 0.236s | vel= 80
  37.500 | G4   | 0.236s | vel= 80
  37.500 | C4   | 0.236s | vel= 80
  37.500 | G#3  | 0.236s | vel= 80
  37.500 | F3   | 0.236s | vel= 80
  37.750 | C#5  | 0.236s | vel= 80
  37.750 | G#4  | 0.236s | vel= 80
  37.750 | C#4  | 0.236s | vel= 80
  37.750 | G#3  | 0.236s | vel= 80
  37.750 | C#3  | 0.236s | vel= 80
  38.250 | C#5  | 0.236s | vel= 80
  38.250 | G#4  | 0.236s | vel= 80
  38.250 | C#4  | 0.236s | vel= 80
  38.250 | G#3  | 0.236s | vel= 80
  38.250 | C#3  | 0.236s | vel= 80
  38.750 | C#5  | 0.236s | vel= 80
  38.750 | G#4  | 0.236s | vel= 80
  38.750 | C#4  | 0.236s | vel= 80
  38.750 | G#3  | 0.236s | vel= 80
  38.750 | C#3  | 0.236s | vel= 80
  39.250 | C#5  | 0.236s | vel= 80
  39.250 | G#4  | 0.236s | vel= 80
  39.250 | C#4  | 0.236s | vel= 80
  39.250 | G#3  | 0.236s | vel= 80
  39.250 | C#3  | 0.236s | vel= 80
  39.500 | C#5  | 0.236s | vel= 80
  39.500 | G4   | 0.236s | vel= 80
  39.500 | D#4  | 0.236s | vel= 80
  39.500 | A#3  | 0.236s | vel= 80
  39.500 | D#3  | 0.236s | vel= 80
  40.000 | C#5  | 0.236s | vel= 80
  40.000 | G4   | 0.236s | vel= 80
  40.000 | D#4  | 0.236s | vel= 80
  40.000 | A#3  | 0.236s | vel= 80
  40.000 | D#3  | 0.236s | vel= 80
  40.500 | C#5  | 0.236s | vel= 80
  40.500 | G4   | 0.236s | vel= 80
  40.500 | D#4  | 0.236s | vel= 80
  40.500 | A#3  | 0.236s | vel= 80
  40.500 | D#3  | 0.236s | vel= 80
  40.750 | C#5  | 0.236s | vel= 80
  40.750 | G4   | 0.236s | vel= 80
  40.750 | D#4  | 0.236s | vel= 80
  40.750 | A#3  | 0.236s | vel= 80
  40.750 | D#3  | 0.236s | vel= 80
  41.250 | C#5  | 0.236s | vel= 80
  41.250 | G4   | 0.236s | vel= 80
  41.250 | D#4  | 0.236s | vel= 80
  41.250 | A#3  | 0.236s | vel= 80
  41.250 | D#3  | 0.236s | vel= 80
  41.750 | C5   | 0.236s | vel= 80
  41.750 | G#4  | 0.236s | vel= 80
  41.750 | C4   | 0.236s | vel= 80
  41.750 | G#3  | 0.236s | vel= 80
  41.750 | D#3  | 0.236s | vel= 80
  42.250 | C5   | 0.236s | vel= 80
  42.250 | G#4  | 0.236s | vel= 80
  42.250 | C4   | 0.236s | vel= 80
  42.250 | G#3  | 0.236s | vel= 80
  42.250 | D#3  | 0.236s | vel= 80
  42.750 | C5   | 0.236s | vel= 80
  42.750 | G#4  | 0.236s | vel= 80
  42.750 | C4   | 0.236s | vel= 80
  42.750 | G#3  | 0.236s | vel= 80
  42.750 | D#3  | 0.236s | vel= 80
  43.250 | C5   | 0.236s | vel= 80
  43.250 | G#4  | 0.236s | vel= 80
  43.250 | C4   | 0.236s | vel= 80
  43.250 | G#3  | 0.236s | vel= 80
  43.250 | D#3  | 0.236s | vel= 80
  43.500 | C5   | 0.236s | vel= 80
  43.500 | G4   | 0.236s | vel= 80
  43.500 | C4   | 0.236s | vel= 80
  43.500 | G#3  | 0.236s | vel= 80
  43.500 | F3   | 0.236s | vel= 80
  44.000 | C5   | 0.236s | vel= 80
  44.000 | G4   | 0.236s | vel= 80
  44.000 | C4   | 0.236s | vel= 80
  44.000 | G#3  | 0.236s | vel= 80
  44.000 | F3   | 0.474s | vel= 80
  44.250 | C5   | 0.236s | vel= 80
  44.250 | C4   | 0.236s | vel= 80
  44.250 | G#3  | 0.236s | vel= 80
  44.500 | C5   | 0.250s | vel= 80
  44.500 | C4   | 0.236s | vel= 80
  44.500 | G#3  | 0.236s | vel= 80
  44.500 | F3   | 0.236s | vel= 80
  44.750 | C5   | 0.474s | vel= 80
  44.750 | C4   | 0.236s | vel= 80
  44.750 | G#3  | 0.236s | vel= 80
  44.750 | F3   | 0.236s | vel= 80
  45.250 | C5   | 1.424s | vel= 80
  45.250 | C#4  | 0.236s | vel= 80
  45.250 | G#3  | 0.236s | vel= 80
  45.250 | C#3  | 0.236s | vel= 80
  45.750 | C#4  | 0.236s | vel= 80
  45.750 | G#3  | 0.236s | vel= 80
  45.750 | C#3  | 0.236s | vel= 80
  46.250 | C#4  | 0.236s | vel= 80
  46.250 | G#3  | 0.236s | vel= 80
  46.250 | C#3  | 0.236s | vel= 80
  46.750 | C#5  | 0.236s | vel= 80
  46.750 | C#4  | 0.236s | vel= 80
  46.750 | G#3  | 0.236s | vel= 80
  46.750 | C#3  | 0.236s | vel= 80
  47.000 | A#4  | 1.186s | vel= 80
  47.000 | D#4  | 0.236s | vel= 80
  47.000 | A#3  | 0.236s | vel= 80
  47.000 | D#3  | 0.236s | vel= 80
  47.500 | D#4  | 0.236s | vel= 80
  47.500 | A#3  | 0.236s | vel= 80
  47.500 | D#3  | 0.236s | vel= 80
  48.000 | D#4  | 0.236s | vel= 80
  48.000 | A#3  | 0.236s | vel= 80
  48.000 | D#3  | 0.236s | vel= 80
  48.250 | D#4  | 0.236s | vel= 80
  48.250 | A#3  | 0.236s | vel= 80
  48.250 | D#3  | 0.236s | vel= 80
  48.500 | A#4  | 0.474s | vel= 80
  48.750 | D#4  | 0.236s | vel= 80
  48.750 | A#3  | 0.236s | vel= 80
  48.750 | D#3  | 0.236s | vel= 80
  49.000 | G#4  | 0.236s | vel= 80
  49.250 | A#4  | 0.474s | vel= 80
  49.500 | C4   | 0.236s | vel= 80
